-1675, 1163, 1
-1672, 995, 1
-1674, 925, 1
-1662, 1458, 1
-1677, 880, 1
-1660, 1199, 1
-1687, 966, 1
-1659, 1435, 1
-1654, 1418, 1
-1660, 856, 1
-1644, 1086, 1
-1685, 813, 1
-1624, 1030, 1
-1660, 1117, 1
-1678, 896, 1
-1696, 1017, 1
-1640, 1000, 1
-1658, 1226, 1
-1680, 850, 1
-1634, 1064, 1
-1678, 867, 1
-1626, 1018, 1
-1674, 1285, 1
-1669, 1230, 1
-1647, 1013, 1
-1667, 938, 1
-1700, 980, 1
-1711, 799, 1
-1743, 1258, 1
-1711, 1163, 1
-1745, 861, 1
-1712, 775, 1
-1745, 848, 1
-1700, 1129, 1
-1724, 974, 1
-1751, 1102, 1
-1726, 1375, 1
-1706, 1072, 1
-1713, 680, 1
-1712, 718, 1
-1740, 736, 1
-1719, 844, 1
-1732, 716, 1
-1734, 1196, 1
-1708, 642, 1
-1707, 1138, 1
-1694, 1407, 1
-1731, 1168, 1
-1678, 903, 1
-1673, 1111, 1
-1679, 1254, 1
-1708, 824, 1
-1692, 1349, 1
-1718, 1302, 1
-1719, 1132, 1
-1688, 1107, 1
-1700, 1202, 1
-1686, 1328, 1
-1720, 811, 1
-1545, 1419, 1
-1402, 1287, 1
-1725, 1157, 1
-1397, 1019, 1
-1426, 760, 1
-1389, 806, 1
-1348, 1380, 1
-1432, 564, 1
-1481, 1244, 1
-1692, 1129, 1
-1636, 360, 1
-1362, 1093, 1
-1499, 708, 1
-1503, 1630, 1
-1585, 1433, 1
-1491, 739, 1
-1580, 1413, 1
-1396, 1554, 1
-1592, 601, 1
-1531, 1234, 1
-1706, 833, 1
-1739, 1099, 1
-1532, 792, 1
-1335, 548, 1
-1370, 1536, 1
-1397, 1241, 1
-1604, 494, 1
-1590, 1562, 1
-1349, 564, 1
-1614, 1526, 1
-1645, 525, 1
-1555, 814, 1
-1612, 1771, 1
-1720, 782, 1
-1503, 836, 1
-1708, 761, 1
-1679, 1545, 1
-1510, 1386, 1
-1424, 1418, 1
-1650, 1658, 1
-1683, 1245, 1
-1503, 822, 1
-1620, 626, 1
-1336, 1407, 1
-1583, 1533, 1
-1546, 499, 1
-1538, 296, 1
-1408, 1373, 1
-1351, 653, 1
-1425, 1469, 1
-1616, 1016, 1
-1724, 1309, 1
-1717, 1186, 1
-1642, 1502, 1
-1719, 1294, 1
-1696, 739, 1
-1354, 1120, 1
-1695, 742, 1
-1554, 1413, 1
-1579, 460, 1
-1655, 1130, 1
-1628, 800, 1
-1383, 1134, 1
-1341, 439, 1
-1439, 822, 1
-1607, 260, 1
-1634, 1748, 1
-1614, 1520, 1
-1635, 1225, 1
-1567, 1417, 1
-1467, 514, 1
-1451, 1507, 1
-1351, 1111, 1
-1564, 1374, 1
-1652, 1308, 1
-1428, 1490, 1
-1610, 666, 1
-1701, 950, 1
-1547, 368, 1
-1377, 1254, 1
-1587, 589, 1
-1572, 1163, 1
-1427, 1206, 1
-1406, 695, 1
-1614, 321, 1
-1342, 726, 1
-1699, 1190, 1
-1488, 1237, 1
-1648, 1661, 1
-1644, 538, 1
-1625, 1575, 1
-1584, 1144, 1
-1530, 754, 1
-1543, 1335, 1
-1584, 669, 1
-1603, 640, 1
-1519, 742, 1
-1626, 1223, 1
-1474, 843, 1
-1438, 1500, 1
-1614, 1353, 1
-1436, 1413, 1
-1551, 1285, 1
-1496, 1230, 1
-1438, 1265, 1
-1628, 1029, 1
-1412, 1497, 1
-1632, 654, 1
-1381, 1024, 1
-1613, 915, 1
-1564, 935, 1
-1351, 641, 1
-1548, 1104, 1
-1528, 1356, 1
-1408, 1021, 1
-1671, 566, 1
-1736, 1210, 1
-1667, 912, 1
-1549, 1358, 1
-1380, 1424, 1
-1484, 1194, 1
-1553, 1535, 1
-1429, 1550, 1
-1596, 1073, 1
-1684, 1438, 1
-1355, 799, 1
-1637, 391, 1
-1363, 949, 1
-1632, 864, 1
-1543, 1374, 1
-1424, 1630, 1
-1451, 638, 1
-1667, 1581, 1
-1587, 948, 1
-1438, 516, 1
-1591, 1354, 1
-1638, 845, 1
-1655, 1305, 1
-1635, 926, 1
-1416, 627, 1
-1401, 1383, 1
-1401, 1286, 1
-1536, 1422, 1
-1378, 1083, 1
-1385, 595, 1
-1519, 1234, 1
-1678, 749, 1
-1633, 1407, 1
-1436, 625, 1
-1723, 705, 1
-1606, 781, 1
-1389, 1109, 1
-1444, 775, 1
-1538, 1578, 1
-1577, 1108, 1
-1566, 867, 1
-1682, 952, 1
-1690, 789, 1
-1658, 1303, 1
-1573, 613, 1
-1366, 1479, 1
-1591, 579, 1
-1582, 1543, 1
-1738, 1146, 1
-1447, 1042, 1
-1532, 501, 1
-1469, 707, 1
-1647, 1536, 1
-1437, 664, 1
-1694, 1273, 1
-1708, 1153, 1
-1699, 1375, 1
-1723, 1300, 1
-1711, 931, 1
-1679, 1029, 1
-1732, 808, 1
-1692, 1078, 1
-1712, 753, 1
-1696, 1224, 1
-1724, 1239, 1
-1705, 884, 1
-1688, 925, 1
-1677, 1174, 1
-1709, 1127, 1
-1678, 1201, 1
-1732, 861, 1
-1694, 1104, 1
-1725, 795, 1
-1692, 1369, 1
-1723, 866, 1
