Detector Z,Ray Number,Ray X,Ray Y,Ray Z,Ray X (pixels),Ray Y (pixels),Dist from 121.01,Dist from 121.01 (highest Y)
121.01,33679,0.023802,-0.00194,121.01,560,1020,-0.5,
121.01,33761,0.022057,0.009592,121.01,557,1043,-0.5,
121.01,33810,0.021507,-0.01088,121.01,556,1001,-0.5,
121.01,33919,0.023485,-0.00538,121.01,560,1012,-0.5,
121.01,34139,0.023854,-0.00296,121.01,560,1017,-0.5,
121.01,34633,0.022524,-0.00907,121.01,558,1005,-0.5,
121.01,34994,0.021836,0.01057,121.01,556,1045,-0.5,
121.01,35065,0.022157,0.009432,121.01,557,1043,-0.5,
121.01,35155,0.022631,-0.00706,121.01,558,1009,-0.5,
121.01,35810,0.023378,0.003489,121.01,559,1031,-0.5,
121.01,36134,0.022669,0.007386,121.01,558,1039,-0.5,
121.01,36162,0.023311,-0.00561,121.01,559,1012,-0.5,
121.01,36272,0.023673,0.000637,121.01,560,1025,-0.5,
121.01,36933,0.023657,-0.00179,121.01,560,1020,-0.5,
121.01,37629,0.024026,0.001409,121.01,561,1026,-0.5,
121.01,37658,0.024024,0.000226,121.01,561,1024,-0.5,
121.01,38389,0.023263,0.004527,121.01,559,1033,-0.5,
121.01,38647,0.02413,-0.00138,121.01,561,1021,-0.5,
121.01,38650,0.022852,-0.00769,121.01,558,1008,-0.5,
121.01,39616,0.022103,-0.00853,121.01,557,1006,-0.5,
121.01,39914,0.023691,-0.00301,121.01,560,1017,-0.5,
121.01,40413,0.024152,0.000955,121.01,561,1025,-0.5,
121.01,40596,0.023515,0.002446,121.01,560,1029,-0.5,
121.01,40778,0.021571,0.010405,121.01,556,1045,-0.5,
121.01,42372,0.023661,-0.0033,121.01,560,1017,-0.5,
121.01,42621,0.021429,-0.01021,121.01,555,1003,-0.5,
121.01,42657,0.024195,-0.00063,121.01,561,1022,-0.5,
121.01,42738,0.023643,0.00279,121.01,560,1029,-0.5,
121.01,43040,0.023256,-0.00564,121.01,559,1012,-0.5,
121.01,43538,0.023548,0.002087,121.01,560,1028,-0.5,
121.01,43785,0.023259,-0.00546,121.01,559,1012,-0.5,
121.01,43895,0.022728,0.008081,121.01,558,1040,-0.5,
121.01,44289,0.024271,-0.00062,121.01,561,1022,-0.5,
121.01,44451,0.023732,0.00482,121.01,560,1033,-0.5,
121.01,44902,0.023254,-0.005,121.01,559,1013,-0.5,
121.01,45160,0.02374,-0.00337,121.01,560,1017,-0.5,
121.01,45851,0.023519,-0.00336,121.01,560,1017,-0.5,
121.01,46112,0.023592,-0.00297,121.01,560,1017,-0.5,
121.01,46597,0.022913,0.006057,121.01,558,1036,-0.5,
121.01,46806,0.02406,0.000567,121.01,561,1025,-0.5,
121.01,46933,0.021756,0.009404,121.01,556,1043,-0.5,
121.01,47109,0.022406,0.007802,121.01,557,1039,-0.5,
121.01,47150,0.023072,-0.0057,121.01,559,1012,-0.5,
121.01,47976,0.02404,-0.00171,121.01,561,1020,-0.5,
121.01,48454,0.023584,-0.00467,121.01,560,1014,-0.5,
121.01,48704,0.023785,-6.43E-05,121.01,560,1023,-0.5,
121.01,48813,0.022828,-0.00688,121.01,558,1009,-0.5,
121.01,49393,0.022499,-0.00764,121.01,558,1008,-0.5,
121.01,49622,0.022814,0.008059,121.01,558,1040,-0.5,
121.11,462,0.018792,0.003543,121.11,550,1031,-0.4,
121.11,1215,0.019034,0.003566,121.11,550,1031,-0.4,
121.11,3142,0.018309,-0.00472,121.11,549,1014,-0.4,
121.11,3752,0.01882,0.003346,121.11,550,1030,-0.4,
121.11,3880,0.018662,-0.00428,121.11,550,1015,-0.4,
121.11,4082,0.019074,-0.00106,121.11,551,1021,-0.4,
121.11,4265,0.019236,-0.00135,121.11,551,1021,-0.4,
121.11,4329,0.019114,0.003283,121.11,551,1030,-0.4,
121.11,4392,0.018937,0.000432,121.11,550,1024,-0.4,
121.11,4574,0.018626,0.004535,121.11,550,1033,-0.4,
121.11,4854,0.017614,-0.00802,121.11,548,1007,-0.4,
121.11,5275,0.017993,0.007204,121.11,548,1038,-0.4,
121.11,5288,0.019054,1.10E-05,121.11,551,1024,-0.4,
121.11,5379,0.019045,0.001652,121.11,551,1027,-0.4,
121.11,5485,0.018128,0.006868,121.11,549,1038,-0.4,
121.11,5548,0.018954,-0.00193,121.11,550,1020,-0.4,
121.11,5691,0.018852,-0.00376,121.11,550,1016,-0.4,
121.11,5806,0.018575,-0.0056,121.11,550,1012,-0.4,
121.11,5884,0.019173,-0.00014,121.11,551,1023,-0.4,
121.11,6172,0.018743,-0.00482,121.11,550,1014,-0.4,
121.11,6237,0.019096,-0.00131,121.11,551,1021,-0.4,
121.11,6655,0.01701,-0.00865,121.11,546,1006,-0.4,
121.11,6676,0.018745,-0.0038,121.11,550,1016,-0.4,
121.11,7124,0.017641,-0.00809,121.11,548,1007,-0.4,
121.11,7320,0.018415,0.004386,121.11,549,1032,-0.4,
121.11,7853,0.017252,0.00834,121.11,547,1041,-0.4,
121.11,8169,0.018546,-0.00512,121.11,549,1013,-0.4,
121.11,8240,0.019322,0.001256,121.11,551,1026,-0.4,
121.11,8482,0.019192,-1.58E-05,121.11,551,1023,-0.4,
121.11,8636,0.019194,0.00248,121.11,551,1029,-0.4,
121.11,8855,0.018297,-0.00589,121.11,549,1011,-0.4,
121.11,10411,0.018891,-0.00274,121.11,550,1018,-0.4,
121.11,10714,0.017473,-0.00779,121.11,547,1008,-0.4,
121.11,11758,0.018767,-0.00284,121.11,550,1018,-0.4,
121.11,12101,0.018234,-0.00656,121.11,549,1010,-0.4,
121.11,12276,0.018487,0.005581,121.11,549,1035,-0.4,
121.11,12493,0.01841,-0.00557,121.11,549,1012,-0.4,
121.11,12940,0.019008,0.000208,121.11,550,1024,-0.4,
121.11,13449,0.01909,0.003607,121.11,551,1031,-0.4,
121.11,14124,0.017443,-0.00822,121.11,547,1007,-0.4,
121.11,14698,0.01874,-0.00369,121.11,550,1016,-0.4,
121.11,14728,0.017065,0.008848,121.11,546,1042,-0.4,-0.4
121.11,14774,0.01863,-0.00396,121.11,550,1015,-0.4,
121.11,15524,0.019094,-0.00024,121.11,551,1023,-0.4,
121.11,15977,0.018649,0.004942,121.11,550,1034,-0.4,
121.11,16258,0.018701,0.002756,121.11,550,1029,-0.4,
121.11,16483,0.017646,-0.0075,121.11,548,1008,-0.4,
121.11,16630,0.019137,0.000711,121.11,551,1025,-0.4,
121.11,16916,0.017615,-0.00783,121.11,548,1007,-0.4,
121.11,16920,0.018873,0.001555,121.11,550,1027,-0.4,
121.11,17445,0.0183,-0.00639,121.11,549,1010,-0.4,
121.11,17510,0.017059,-0.00839,121.11,546,1006,-0.4,
121.11,17725,0.018788,0.00212,121.11,550,1028,-0.4,
121.11,18044,0.018994,-0.00367,121.11,550,1016,-0.4,
121.11,18085,0.019003,-0.00068,121.11,550,1022,-0.4,
121.11,18747,0.018276,-0.00606,121.11,549,1011,-0.4,
121.11,18876,0.018184,-0.00536,121.11,549,1013,-0.4,
121.11,19189,0.017192,-0.009,121.11,547,1005,-0.4,
121.11,20437,0.018612,0.00369,121.11,550,1031,-0.4,
121.11,20588,0.017998,0.0071,121.11,548,1038,-0.4,
121.11,20649,0.018392,-0.00551,121.11,549,1012,-0.4,
121.11,21302,0.017448,0.007327,121.11,547,1039,-0.4,
121.11,21455,0.017301,-0.00774,121.11,547,1008,-0.4,
121.11,21683,0.016907,-0.00955,121.11,546,1004,-0.4,
121.11,21848,0.017186,-0.00801,121.11,547,1007,-0.4,
121.11,22041,0.019013,-0.00103,121.11,550,1021,-0.4,
121.11,22090,0.018912,0.00362,121.11,550,1031,-0.4,
