560, 1019,4,
555, 1045,3,
559, 1036,2,
557, 1042,2,
560, 1027,1,
561, 1020,3,
560, 1015,3,
561, 1025,6,
557, 1007,2,
557, 1041,1,
561, 1026,2,
557, 1040,1,
556, 1044,4,
559, 1011,2,
557, 1039,2,
560, 1020,3,
559, 1035,1,
558, 1040,4,
561, 1022,4,
560, 1030,2,
557, 1003,1,
557, 1004,1,
560, 1029,6,
559, 1010,1,
555, 1002,1,
561, 1027,1,
556, 1043,3,
561, 1023,3,
555, 1046,1,
556, 1045,3,
559, 1008,1,
558, 1039,3,
558, 1008,4,
558, 1007,3,
559, 1013,2,
561, 1028,1,
560, 1033,2,
560, 1031,1,
560, 1023,3,
555, 1044,2,
560, 1034,1,
560, 1017,8,
556, 1046,1,
560, 1025,2,
559, 1032,1,
558, 1038,1,
561, 1019,2,
558, 1009,3,
560, 1032,2,
560, 1035,1,
558, 1005,2,
559, 1038,1,
561, 1030,1,
558, 1010,1,
555, 1000,1,
555, 1047,1,
555, 999,1,
557, 1005,1,
559, 1039,1,
557, 1043,3,
556, 1001,1,
560, 1012,1,
559, 1031,1,
559, 1012,4,
561, 1024,1,
559, 1033,1,
561, 1021,1,
557, 1006,1,
555, 1003,1,
560, 1028,1,
558, 1036,1,
560, 1014,1,
550, 1031,5,
549, 1014,1,
550, 1030,6,
550, 1015,5,
551, 1021,5,
551, 1030,1,
550, 1024,2,
550, 1033,1,
548, 1007,3,
548, 1038,3,
551, 1024,1,
551, 1027,3,
549, 1038,1,
550, 1020,1,
550, 1016,8,
550, 1012,1,
551, 1023,3,
550, 1014,1,
546, 1006,2,
549, 1032,2,
547, 1041,4,
549, 1013,2,
551, 1026,2,
551, 1029,2,
549, 1011,3,
550, 1018,2,
547, 1008,3,
549, 1010,2,
549, 1035,1,
549, 1012,4,
551, 1031,1,
547, 1007,3,
546, 1042,1,
550, 1034,2,
550, 1029,2,
548, 1008,4,
551, 1025,1,
550, 1027,2,
550, 1028,1,
550, 1022,2,
547, 1005,2,
547, 1039,1,
546, 1004,3,
550, 1021,1,
546, 1041,2,
551, 1022,3,
549, 1034,5,
550, 1017,1,
548, 1009,2,
549, 1036,1,
548, 1011,1,
551, 1020,4,
551, 1019,1,
550, 1019,3,
547, 1038,1,
546, 1040,1,
550, 1025,1,
549, 1015,1,
550, 1032,1,
547, 1009,1,
546, 1005,1,
547, 1040,1,
551, 1028,1,
548, 1039,1,
539, 1012,2,
541, 1026,4,
539, 1034,10,
541, 1030,1,
538, 1012,3,
541, 1025,7,
538, 1009,1,
540, 1015,4,
540, 1029,3,
540, 1032,5,
541, 1023,8,
541, 1024,4,
541, 1027,6,
537, 1009,1,
539, 1033,3,
541, 1028,3,
538, 1037,3,
540, 1017,8,
538, 1035,3,
539, 1013,5,
541, 1021,4,
539, 1014,4,
538, 1011,6,
540, 1019,4,
537, 1010,1,
541, 1022,6,
540, 1018,4,
540, 1030,2,
540, 1014,2,
540, 1033,3,
541, 1029,1,
540, 1016,5,
540, 1031,2,
539, 1035,3,
541, 1018,3,
537, 1037,1,
540, 1028,2,
538, 1010,2,
538, 1036,5,
541, 1020,4,
540, 1027,1,
538, 1038,1,
531, 1025,10,
531, 1021,4,
530, 1017,12,
531, 1022,7,
531, 1023,5,
530, 1030,11,
531, 1027,8,
530, 1016,2,
531, 1028,2,
531, 1020,8,
531, 1024,8,
530, 1031,7,
530, 1029,5,
530, 1018,10,
531, 1026,9,
531, 1019,6,
529, 1032,8,
529, 1015,6,
530, 1028,2,
529, 1014,1,
529, 1031,3,
529, 1033,1,
521, 1022,12,
521, 1021,15,
521, 1024,8,
521, 1023,19,
521, 1020,12,
521, 1025,19,
521, 1027,14,
520, 1020,9,
521, 1026,18,
520, 1019,12,
521, 1028,2,
521, 1019,1,
520, 1028,13,
520, 1027,19,
520, 1026,19,
